id,geoname,latitude,longitude,country
30 / 205,"Oaxaca, Huanhtlilla",23.634501,-102.552784,Mexico
30 / 660,Ixtapalocan,23.634501,-102.552784,Mexico
30 / 1026,"Guerrero, Xalitlan",23.634501,-102.552784,Mexico
30 / 1044,"Guerrero, Ixcateopan, Rancho Viejo",23.634501,-102.552784,Mexico
30 / 1047,"Guerrero, Rancho Viejo",23.634501,-102.552784,Mexico
30.2/ 8699,"Guerrero, Mexcala",23.634501,-102.552784,Mexico
65 / 5983,"Guerrero, Xalitla",23.634501,-102.552784,Mexico
65 / 5207,"Michoacán, Aranza",23.634501,-102.552784,Mexico
30 / 2206,"Durango, Zape",23.634501,-102.552784,Mexico
30 / 3123,Los Diamantes,23.634501,-102.552784,Mexico
30 / 3792,San Simón Clanaqua,23.634501,-102.552784,Mexico
30 / 6831,"Chihuahua, San Miguel",23.634501,-102.552784,Mexico
30 / 5810,"Nayarít, Tepic, Rancho Camechín",23.634501,-102.552784,Mexico
30 / 5813,"Nayarít, Ixtlán, Iala",23.634501,-102.552784,Mexico
30 / 6205,San Nicholas Chapala,23.634501,-102.552784,Mexico
30 / 7527,"Jalisco, Valley Of Mezquite",23.634501,-102.552784,Mexico
30 /11270,"Jalisco, Valley Of Mezquite, Nostic, Totoate",23.634501,-102.552784,Mexico
30.1/ 1201,Ixtapalapa,23.634501,-102.552784,Mexico
30.3/ 1489,"Oaxaca, Isthmus Of Tehuantepec",23.634501,-102.552784,Mexico
