id,geoname,latitude,longitude,country
30.0/ 2209,"El Peten, Planch De Piedra",15.783471,-90.230759,Guatemala
30.0/ 3598,Barro () Santiago,13.794185,-88.89653,El Salvador
30.0/ 6427,"Gulf Of California, Sonora, Tiburon Island, East Central Coast",23.634501,-102.552784,Mexico
30.0/ 6442,"Sonora, Mouth Of The Colorado River, Boca De Colorado",23.634501,-102.552784,Mexico
30.1/ 2270,"Veracruz, Cuatatolapan",23.634501,-102.552784,Mexico
30.1/ 2806,"Morelos, Cuernavaca, Gualupita, Pyramid I",23.634501,-102.552784,Mexico
30.1/ 6334,Santa Maria Tianguistenco,23.634501,-102.552784,Mexico
30.1/ 6755,"Santiago Ahuitzotla, Between El Corral And Coyotlatelco",23.634501,-102.552784,Mexico
30.2/ 4490,"Veracruz, Topila, La Puerta",23.634501,-102.552784,Mexico
30.2/ 4521,"Veracruz, La Herradura",23.634501,-102.552784,Mexico
30.2/ 7609,Vega De Otates,23.634501,-102.552784,Mexico
30.2/ 5636,"Sinaloa, Haciendita",23.634501,-102.552784,Mexico
30.2/ 5763,"Sinaloa, Bamoa",23.634501,-102.552784,Mexico
30.2/ 5509,"Sonora, Ures",23.634501,-102.552784,Mexico
65 / 1043,"Chihuahua, Guachochic",23.634501,-102.552784,Mexico
65 / 2107,Los Altos,15.783471,-90.230759,Guatemala
65 / 2211,"Baja Verapaz, Cubulco",15.783471,-90.230759,Guatemala
65 / 3088,Cerro De Colotlan,23.634501,-102.552784,Mexico
65 / 4719 H,"Oaxaca, Garrapateras, On The Coast To The Astata",23.634501,-102.552784,Mexico
65 / 6023 C,"Sololá, Santiago Atitlán",15.783471,-90.230759,Guatemala
65 / 5035 C,"Buenos Aires, Puntarenas, Ujarras",9.748917,-83.753428,Costa Rica
65 / 5156,"Hidalgo, Ixmiquilpan - Zimapan",23.634501,-102.552784,Mexico
65 / 5255 C,"Oaxaca, Pinotepa",23.634501,-102.552784,Mexico
65 / 5455 H,"Oaxaca, Jalieza",23.634501,-102.552784,Mexico
MCAA/ 0821 E,"Oaxaca, Mare Muerto",23.634501,-102.552784,Mexico
MCAA/ 0876,Pomona,17.189877,-88.49765,Belize
MCAA/ 1001,"El Arbolillo, Zacatenco",23.634501,-102.552784,Mexico
30 / 973,"Yucatan, Acanceh",23.634501,-102.552784,Mexico
30 / 997 G,"Tamaulipas, Vacinity Of Rio Panuco",23.634501,-102.552784,Mexico
30 / 1037,"Guerrero, Huitziltepec",23.634501,-102.552784,Mexico
30.3/ 1554,State Line Of Guerrero And Morelos,23.634501,-102.552784,Mexico
30 / 3952,"Sonora, Nacori",23.634501,-102.552784,Mexico
30 / 9717,"Jalisco, Teocuitatlan, Guadalajara",23.634501,-102.552784,Mexico
30.0/ 163,"Chalco, Santa Catarina",23.634501,-102.552784,Mexico
30.0/ 3023,"Yucatan, Ticul",23.634501,-102.552784,Mexico
30.0/ 3603,Cookra Point,12.865416,-85.207229,Nicaragua
30.0/ 4461,San Jacinto,13.794185,-88.89653,El Salvador
30.0/ 6434,"Sonora, Coast Of Sonora, St. Peter'S Harbor",23.634501,-102.552784,Mexico
30.2/ 3321,"San Juan Teotihuacán, Moon",23.634501,-102.552784,Mexico
30.1/ 5226,"Sonora County, Magdalena, Alamo",23.634501,-102.552784,Mexico
30.1/ 6201,"San Andres Atoyac, Tlalmanalco, House Las Palomas",23.634501,-102.552784,Mexico
30.1/ 6708,"Santiago Ahuitzotla, Adjacent To El Corral",23.634501,-102.552784,Mexico
30.2/ 4500,"Veracruz, Mata De Palacho, Topila",23.634501,-102.552784,Mexico
30.2/ 5491 D,"Sonora, Rancho El Alama",23.634501,-102.552784,Mexico
30.2/ 6132,"Veracruz, Tres Zapotes",23.634501,-102.552784,Mexico
30.2/ 7312,"Veracruz, San Cristobal, Herradura",23.634501,-102.552784,Mexico
30.2/ 7562,"Veracruz, Chila",23.634501,-102.552784,Mexico
MCAA/ 0852,Iguala,23.634501,-102.552784,Mexico
30.3/ 1245,Parita,8.537981,-80.782127,Panama
65 / 1695,Taeakata,23.634501,-102.552784,Mexico
65 / 6054,"Chimaltenango, Patzún",15.783471,-90.230759,Guatemala
65 / 2127,"Chimaltenango, Zumpango",15.783471,-90.230759,Guatemala
